"year","age_group","sex","road_user","Sum(hospitalisations)","Sum(cases)","Mean(bed_days)","Sum(died_cases)"
2011,"0-7","Female","Bus occupant",2,2,1,0
2011,"0-7","Female","Car passenger",132,136,8,4
2011,"0-7","Female","Car unknown position",10,10,6,0
2011,"0-7","Female","Heavy transport passenger",1,1,1,0
2011,"0-7","Female","Motorcyclist",6,6,2,0
2011,"0-7","Female","Other or unknown",6,6,1,0
2011,"0-7","Female","Pedal cyclist",64,64,2,0
2011,"0-7","Female","Pedestrian",55,56,14,1
2011,"0-7","Female","Pick-up truck or van occupant",1,1,1,0
2011,"0-7","Male","Bus occupant",5,5,2,0
2011,"0-7","Male","Car passenger",140,141,7,1
2011,"0-7","Male","Car unknown position",10,10,4,0
2011,"0-7","Male","Motorcyclist",21,21,2,0
2011,"0-7","Male","Other or unknown",14,14,5,0
2011,"0-7","Male","Pedal cyclist",138,138,4,0
2011,"0-7","Male","Pedestrian",108,110,10,2
2011,"0-7","Male","Pick-up truck or van occupant",3,3,1,0
2011,"17-25","Female","Bus occupant",13,13,2,0
2011,"17-25","Female","Car driver",1270,1274,27,4
2011,"17-25","Female","Car passenger",661,665,16,4
2011,"17-25","Female","Car unknown position",88,88,5,0
2011,"17-25","Female","Heavy transport passenger",2,2,1,0
2011,"17-25","Female","Motorcyclist",156,156,6,0
2011,"17-25","Female","Other or unknown",36,36,3,0
2011,"17-25","Female","Pedal cyclist",103,103,6,0
2011,"17-25","Female","Pedestrian",186,189,15,3
2011,"17-25","Female","Pick-up truck or van occupant",14,14,3,0
2011,"17-25","Male","Bus occupant",5,5,1,0
2011,"17-25","Male","Car driver",1588,1603,45,15
2011,"17-25","Male","Car passenger",725,730,27,5
2011,"17-25","Male","Car unknown position",124,125,7,1
2011,"17-25","Male","Heavy transport driver",33,34,4,1
2011,"17-25","Male","Heavy transport passenger",8,8,12,0
2011,"17-25","Male","Heavy transport unknown position",2,2,3,0
2011,"17-25","Male","Motorcyclist",1854,1860,43,6
2011,"17-25","Male","Other or unknown",85,86,9,1
2011,"17-25","Male","Pedal cyclist",544,544,11,0
2011,"17-25","Male","Pedestrian",327,330,36,3
2011,"17-25","Male","Pick-up truck or van occupant",55,56,5,1
2011,"26-39","Female","Bus occupant",12,12,4,0
