"year","state","road_user_group","Sum(cases)","Sum(bed_days)"
"2011","ACT","Driver",198,923
"2011","ACT","Driver/passenger",0,0
"2011","ACT","Motorcyclist",144,649
"2011","ACT","Other/unknown",0,0
"2011","ACT","Pedal cyclist",149,429
"2011","ACT","Pedestrian",30,459
"2011","NSW","Driver",5285,23686
"2011","NSW","Driver/passenger",161,736
"2011","NSW","Motorcyclist",2393,11863
"2011","NSW","Other/unknown",325,1497
"2011","NSW","Pedal cyclist",1487,4222
"2011","NSW","Pedestrian",967,8340
"2011","NT","Driver",209,1515
"2011","NT","Motorcyclist",106,708
"2011","NT","Other/unknown",31,124
"2011","NT","Pedal cyclist",62,189
"2011","NT","Pedestrian",44,453
"2011","Qld","Driver",2768,12970
"2011","Qld","Driver/passenger",162,776
"2011","Qld","Motorcyclist",1781,8354
"2011","Qld","Other/unknown",213,909
"2011","Qld","Pedal cyclist",955,2841
"2011","Qld","Pedestrian",443,2683
"2011","SA","Driver",1255,5975
"2011","SA","Driver/passenger",28,85
"2011","SA","Motorcyclist",460,2798
"2011","SA","Other/unknown",25,107
"2011","SA","Pedal cyclist",379,1319
"2011","SA","Pedestrian",176,1632
"2011","Tas","Driver",225,1575
"2011","Tas","Driver/passenger",0,0
"2011","Tas","Motorcyclist",129,855
"2011","Tas","Other/unknown",0,0
"2011","Tas","Pedal cyclist",73,174
"2011","Tas","Pedestrian",45,347
"2011","Vic","Driver",4861,17151
"2011","Vic","Driver/passenger",156,632
"2011","Vic","Motorcyclist",1622,6525
"2011","Vic","Other/unknown",261,765
"2011","Vic","Pedal cyclist",1687,4174
"2011","Vic","Pedestrian",739,4677
"2011","WA","Driver",1616,8277
"2011","WA","Driver/passenger",45,255
"2011","WA","Motorcyclist",867,5545
"2011","WA","Other/unknown",123,813
"2011","WA","Pedal cyclist",530,1685
"2011","WA","Pedestrian",261,1910
"2012","ACT","Driver",237,991
"2012","ACT","Driver/passenger",0,0
"2012","ACT","Motorcyclist",144,523
"2012","ACT","Other/unknown",11,22
"2012","ACT","Pedal cyclist",173,527
"2012","ACT","Pedestrian",27,162
"2012","NSW","Driver",5423,22444
"2012","NSW","Driver/passenger",142,681
"2012","NSW","Motorcyclist",2626,12860
"2012","NSW","Other/unknown",308,1557
"2012","NSW","Pedal cyclist",1667,4631
